iso2,date,date,loansPnfs_yoy,resPropPrice,cpi_yoy,fx,totalCreditPnfs2GDP,totalCreditPnfsLCY,dsrPnfs,dsrHousehold,dsrNfc,policyRate,spotRate10year,EAtermSpread,spotRate2year,bankCreditPnfs,UStermSpread,financialStressIndex,financialStressDummy,quarter
AT,1949-01,1949-01-01 00:00:00.000000000,,,20.999985,,,,,,,,,,,,,,,1949Q1
AT,1949-02,1949-02-01 00:00:00.000000000,,,19.899912,,,,,,,,,,,,,,,1949Q1
AT,1949-03,1949-03-01 00:00:00.000000000,,,16.699841,,,,,,,,,,,,,,,1949Q1
AT,1949-04,1949-04-01 00:00:00.000000000,,,17.400087,,,,,,,,,,,,,,,1949Q2
AT,1949-05,1949-05-01 00:00:00.000000000,,,17.599962,,,,,,,,,,,,,,,1949Q2
AT,1949-06,1949-06-01 00:00:00.000000000,,,40.599836,,,,,,,,,,,,,,,1949Q2
AT,1949-07,1949-07-01 00:00:00.000000000,,,42.099927,,,,,,,,,,,,,,,1949Q3
AT,1949-08,1949-08-01 00:00:00.000000000,,,40.70001,,,,,,,,,,,,,,,1949Q3
AT,1949-09,1949-09-01 00:00:00.000000000,,,44.500085,,,,,,,,,,,,,,,1949Q3
AT,1949-10,1949-10-01 00:00:00.000000000,,,23.299971,,,0.517,,,,,,,,0.371,,,,1949Q4
AT,1949-11,1949-11-01 00:00:00.000000000,,,25.899993,,,,,,,,,,,,,,,1949Q4
AT,1949-12,1949-12-01 00:00:00.000000000,,,29.399823,,,,,,,,,,,,,,,1949Q4
AT,1950-01,1950-01-01 00:00:00.000000000,,,27.700083,,,0.589,,,,,,,,0.423,,,,1950Q1
AT,1950-02,1950-02-01 00:00:00.000000000,,,25.30002,,,,,,,,,,,,,,,1950Q1
AT,1950-03,1950-03-01 00:00:00.000000000,,,24.200162,,,,,,,,,,,,,,,1950Q1
AT,1950-04,1950-04-01 00:00:00.000000000,,,22.499989,,,0.625,,,,,,,,0.448,,,,1950Q2
AT,1950-05,1950-05-01 00:00:00.000000000,,,21.199942,,,,,,,,,,,,,,,1950Q2
AT,1950-06,1950-06-01 00:00:00.000000000,,,5.100049,,,,,,,,,,,,,,,1950Q2
AT,1950-07,1950-07-01 00:00:00.000000000,,,5.200025,,,0.679,,,,,,,,0.487,,,,1950Q3
AT,1950-08,1950-08-01 00:00:00.000000000,,,4.399958,,,,,,,,,,,,,,,1950Q3
AT,1950-09,1950-09-01 00:00:00.000000000,,,4.899975,,,,,,,,,,,,,,,1950Q3
AT,1950-10,1950-10-01 00:00:00.000000000,,,10.900011,,,0.731,,,,,,,,0.525,,,,1950Q4
AT,1950-11,1950-11-01 00:00:00.000000000,,,8.500004,,,,,,,,,,,,,,,1950Q4
AT,1950-12,1950-12-01 00:00:00.000000000,,,6.800079,,,,,,,,,,,,,,,1950Q4
AT,1951-01,1951-01-01 00:00:00.000000000,,,9.999956,,,0.803,,,,,,,,0.576,,,,1951Q1
AT,1951-02,1951-02-01 00:00:00.000000000,,,13.700044,,,,,,,,,,,,,,,1951Q1
AT,1951-03,1951-03-01 00:00:00.000000000,,,18.999993,,,,,,,,,,,,,,,1951Q1
AT,1951-04,1951-04-01 00:00:00.000000000,,,19.200042,,,0.881,,,,,,,,0.632,,,,1951Q2
AT,1951-05,1951-05-01 00:00:00.000000000,,,21.100003,,,,,,,,,,,,,,,1951Q2
AT,1951-06,1951-06-01 00:00:00.000000000,,,22.300002,,,,,,,,,,,,,,,1951Q2
AT,1951-07,1951-07-01 00:00:00.000000000,,,33.699952,,,0.948,,,,,,,,0.68,,,,1951Q3
AT,1951-08,1951-08-01 00:00:00.000000000,,,42.599935,,,,,,,,,,,,,,,1951Q3
AT,1951-09,1951-09-01 00:00:00.000000000,,,38.899817,,,,,,,,,,,,,,,1951Q3
AT,1951-10,1951-10-01 00:00:00.000000000,,,35.800015,,,0.971,,,,,,,,0.696,,,,1951Q4
AT,1951-11,1951-11-01 00:00:00.000000000,,,36.099973,,,,,,,,,,,,,,,1951Q4
AT,1951-12,1951-12-01 00:00:00.000000000,,,39.099993,,,,,,,,,,,,,,,1951Q4
AT,1952-01,1952-01-01 00:00:00.000000000,,,36.300033,,,1.02,,,,,,,,0.732,,,,1952Q1
AT,1952-02,1952-02-01 00:00:00.000000000,,,34.399874,,,,,,,,,,,,,,,1952Q1
AT,1952-03,1952-03-01 00:00:00.000000000,,,29.599937,,,,,,,,,,,,,,,1952Q1
AT,1952-04,1952-04-01 00:00:00.000000000,,,28.999916,,,1.065,,,,,,,,0.764,,,,1952Q2
AT,1952-05,1952-05-01 00:00:00.000000000,,,28.899972,,,,,,,,,,,,,,,1952Q2
AT,1952-06,1952-06-01 00:00:00.000000000,,,27.999914,,,,,,,,,,,,,,,1952Q2
AT,1952-07,1952-07-01 00:00:00.000000000,,,14.099997,,,1.031,,,,,,,,0.74,,,,1952Q3
AT,1952-08,1952-08-01 00:00:00.000000000,,,7.900009,,,,,,,,,,,,,,,1952Q3
AT,1952-09,1952-09-01 00:00:00.000000000,,,8.300075,,,,,,,,,,,,,,,1952Q3
AT,1952-10,1952-10-01 00:00:00.000000000,,,4.099963,,,1.009,,,,,,,,0.724,,,,1952Q4
AT,1952-11,1952-11-01 00:00:00.000000000,,,1.800005,,,,,,,,,,,,,,,1952Q4
AT,1952-12,1952-12-01 00:00:00.000000000,,,-0.99997,,,,,,,,,,,,,,,1952Q4
AT,1953-01,1953-01-01 00:00:00.000000000,,,-2.300022,,,1.065,,,,,,,,0.764,,,,1953Q1
AT,1953-02,1953-02-01 00:00:00.000000000,,,-1.899929,,,,,,,,,,,,,,,1953Q1
AT,1953-03,1953-03-01 00:00:00.000000000,,,-3.699956,,,,,,,,,,,,,,,1953Q1
AT,1953-04,1953-04-01 00:00:00.000000000,,,-7.599997,,,1.12,,,,,,,,0.804,,,,1953Q2
AT,1953-05,1953-05-01 00:00:00.000000000,,,-8.199933,,,,,,,,,,,,,,,1953Q2
AT,1953-06,1953-06-01 00:00:00.000000000,,,-8.79993,,,,,,,,,,,,,,,1953Q2
AT,1953-07,1953-07-01 00:00:00.000000000,,,-7.899982,,,1.132,,,,,,,,0.812,,,,1953Q3
AT,1953-08,1953-08-01 00:00:00.000000000,,,-5.300015,,,,,,,,,,,,,,,1953Q3
AT,1953-09,1953-09-01 00:00:00.000000000,,,-5.600002,,,,,,,,,,,,,,,1953Q3
AT,1953-10,1953-10-01 00:00:00.000000000,,,-4.700054,,,1.184,,,,,,,,0.849,,,,1953Q4
AT,1953-11,1953-11-01 00:00:00.000000000,,,-4.10002,,,,,,,,,,,,,,,1953Q4
AT,1953-12,1953-12-01 00:00:00.000000000,,,-4.700046,,,,,,,,,,,,,,,1953Q4
AT,1954-01,1954-01-01 00:00:00.000000000,,,0.200015,,,1.248,,,,,,,,0.895,,,,1954Q1
AT,1954-02,1954-02-01 00:00:00.000000000,,,0.800014,,,,,,,,,,,,,,,1954Q1
AT,1954-03,1954-03-01 00:00:00.000000000,,,1.899924,,,,,,,,,,,,,,,1954Q1
AT,1954-04,1954-04-01 00:00:00.000000000,,,9.000031,,,1.315,,,,,,,,0.943,,,,1954Q2
AT,1954-05,1954-05-01 00:00:00.000000000,,,7.699936,,,,,,,,,,,,,,,1954Q2
AT,1954-06,1954-06-01 00:00:00.000000000,,,4.399954,,,,,,,,,,,,,,,1954Q2
AT,1954-07,1954-07-01 00:00:00.000000000,,,5.700015,,,1.42,,,,,,,,1.019,,,,1954Q3
AT,1954-08,1954-08-01 00:00:00.000000000,,,3.600031,,,,,,,,,,,,,,,1954Q3
